epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1783.01,1.05174,1.13584,1.30215,0.45482,0.85804,0.51734,0.36223,1.07294,1.17658,1.4694,0.001387,0.001387,0.001387
89,1803.05,1.00778,1.13725,1.27323,0.45531,0.85543,0.52107,0.36162,1.05501,1.16956,1.45086,0.001288,0.001288,0.001288
90,1823.13,0.96436,1.09465,1.23256,0.4733,0.81249,0.52419,0.37138,1.06495,1.17314,1.4699,0.001189,0.001189,0.001189
91,1844.14,0.91994,1.04917,1.29928,0.47744,0.84485,0.53189,0.37968,1.06093,1.15948,1.46089,0.00109,0.00109,0.00109
92,1864.23,0.9681,1.06822,1.30625,0.47954,0.83277,0.53202,0.38346,1.068,1.16817,1.46556,0.000991,0.000991,0.000991
93,1885.01,0.90354,1.03708,1.25998,0.48094,0.8607,0.53516,0.38213,1.03636,1.14044,1.44484,0.000892,0.000892,0.000892
94,1904.67,0.87757,1.0278,1.2585,0.47439,0.84328,0.53657,0.37384,1.06743,1.15865,1.46594,0.000793,0.000793,0.000793
95,1924.58,0.88387,1.00826,1.26166,0.48919,0.83335,0.54407,0.3808,1.07955,1.14098,1.48307,0.000694,0.000694,0.000694
96,1944.45,0.94946,1.04839,1.33286,0.48724,0.83158,0.54044,0.38643,1.07149,1.14311,1.4714,0.000595,0.000595,0.000595
97,1964.83,0.88449,1.01617,1.27597,0.48721,0.85147,0.54073,0.38731,1.05401,1.1348,1.46031,0.000496,0.000496,0.000496
98,1984.74,0.88332,1.01712,1.26523,0.48611,0.83691,0.54287,0.38601,1.05225,1.13319,1.45964,0.000397,0.000397,0.000397
99,2004.94,0.88214,1.00802,1.26481,0.48684,0.83755,0.54591,0.38662,1.05996,1.12944,1.46961,0.000298,0.000298,0.000298
100,2024.73,0.86392,1.0011,1.24032,0.48722,0.82687,0.54142,0.38329,1.06338,1.12875,1.47205,0.000199,0.000199,0.000199
